,seconds,x,y,z,speed,acceleration,degrees
13965,1398783911.6131794,74.2993,129.903,4.04871,0.06891890282217483,4.253881077587571,316.1407921452248
13966,1398783911.7137482,74.3041,129.898,4.06141,0.49672649631651355,-0.01871525881771819,316.2084728814592
13967,1398783911.8143275,74.2543,129.90200000000002,4.06141,0.49484412940060984,0.6211999097500926,316.39364642186257
13968,1398783911.9148865,74.2047,129.906,4.07886,0.5573113687649586,-3.644772783806411,316.75270807514573
13969,1398783912.0053918,74.1543,129.908,4.113770000000001,0.22743989017342103,2.5929654184513846,317.30793479963575
13970,1398783912.1059625,74.1432,129.888,-2.13633,0.4882161821810668,0.1616138351299595,318.04691602152894
13971,1398783912.2065327,74.0941,129.888,-2.11888,0.5044697182056825,0.03069766211863647,318.91532786774053
13972,1398783912.3071125,74.0434,129.886,-2.11888,0.5075572810377262,-3.1699766971311596,319.8297768628118
13973,1398783912.407613,73.9924,129.885,-2.11888,0.18897277282332461,2.949173900327779,320.6967279039787
13974,1398783912.5081859,73.9863,129.86700000000002,-2.10643,0.4855795218565297,0.08997078898863108,321.4321216358822
13975,1398783912.6087687,73.9375,129.865,-2.10643,0.4946290391553661,0.025587218787327136,321.98446741766566
13976,1398783912.7093294,73.8878,129.863,-2.10643,0.4972021068954623,-1.041383325725323,322.33221657736146
13977,1398783912.8099122,73.8378,129.862,-2.10643,0.39245681648723946,1.5669227321487589,322.4978744942614
13978,1398783912.9104686,73.7999,129.851,-2.10142,0.550020884137555,-0.7109113926861383,322.51008984368644
13979,1398783913.0009933,73.7502,129.84799999999998,-2.10142,0.4856658624542878,0.11716491039066762,322.37546393588957
13980,1398783913.1015582,73.7014,129.846,-2.10142,0.49744854659038845,0.9153650482933069,322.06113706613417
13981,1398783913.2020912,73.6514,129.845,-2.10142,0.589472948840117,3.6683437245210997,321.51565743204515
13982,1398783913.3026488,73.5922,129.842,-2.11959,0.9583526638887973,-4.532393350922773,320.6989524996998
13983,1398783913.403238,73.4958,129.842,-2.1404900000000002,0.5024425010725064,-0.05315870334635679,319.6201110381965
13984,1398783913.5037668,73.4453,129.843,4.10779,0.49709852482553324,-0.06227135491362022,318.32162170715617
13985,1398783913.6043305,73.3954,129.846,4.07288,0.49083628295041154,-2.598543160161584,316.88161623922235
