seconds,x,y,z
1398757455.913153110, 18.6083, 118.525, -0.0793989
1398757456.003617622, 18.6083, 118.525, -0.0793989
1398757456.104172925, 18.6083, 118.525, -0.0793989
1398757456.204742141, 18.6083, 118.525, -0.0793989
1398757456.305203855, 18.6083, 118.525, -0.0793989
1398757456.405735443, 18.6083, 118.525, -0.0793989
1398757456.506264419, 18.6083, 118.525, -0.0793989
1398757456.609347857, 18.6083, 118.525, -0.0793989
1398757456.710035001, 18.6083, 118.525, -0.0793989
1398757456.810582988, 18.6083, 118.525, -0.0793989
1398757456.911161842, 18.6083, 118.525, -0.0793989
1398757457.001639628, 18.6083, 118.525, -0.0793989
1398757457.102193946, 18.6083, 118.525, -0.0793989
1398757457.202765269, 18.6083, 118.525, -0.0793989
1398757457.303318312, 18.6083, 118.525, -0.0793989
1398757457.403783361, 18.6083, 118.525, -0.0793989
1398757457.504338088, 18.6083, 118.525, -0.0793989
1398757457.604900195, 18.6083, 118.525, -0.0793989
1398757457.705486920, 18.6103, 118.525, -0.0793989
1398757457.806046320, 18.6163, 118.525, -0.0793989
1398757457.906591028, 18.6252, 118.524, -0.0793989
1398757458.007139747, 18.6372, 118.523, -0.0793989
1398757458.107717642, 18.6512, 118.522, -0.0793989
1398757458.208300603, 18.6691, 118.52, -0.0793989
1398757458.308822003, 18.69, 118.519, -0.0793989
1398757458.409398478, 18.714, 118.517, -0.0793989
1398757458.509973833, 18.7399, 118.515, -0.0793989
1398757458.610501570, 18.7698, 118.512, -0.0793989
1398757458.711095024, 18.7997, 118.51, -0.0793989
1398757458.811688338, 18.8296, 118.508, -0.0793989
1398757458.912289435, 18.8595, 118.505, -0.0793989
1398757459.002770314, 18.8894, 118.503, -0.0793989
1398757459.103328858, 18.9193, 118.501, -0.0793989
1398757459.203875554, 18.9492, 118.498, -0.0793989
1398757459.304426509, 18.9791, 118.496, -0.0793989
1398757459.404928142, 19.009, 118.493, -0.0793989
1398757459.515568195, 19.0684, 118.496, -0.0798835
1398757459.616135564, 19.0986, 118.523, -0.0818371
1398757459.716729428, 19.1225, 118.521, -0.0818371
1398757459.817279640, 19.1434, 118.52, -0.0818371
1398757459.917829876, 19.1624, 118.518, -0.0818371
1398757460.008349609, 19.1624, 118.518, -0.0818371
1398757460.108927369, 19.1823, 118.516, -0.0818371
1398757460.209496934, 19.2062, 118.514, -0.0818371
1398757460.310075765, 19.232, 118.52, -0.0822219
1398757460.410652539, 19.2585, 118.543, -0.0834533
1398757460.511203836, 19.2883, 118.54, -0.0834533
1398757460.611762298, 19.3182, 118.538, -0.0834533
1398757460.712319462, 19.3481, 118.535, -0.0834533
1398757460.812893947, 19.378, 118.533, -0.0834533
1398757460.913448147, 19.4079, 118.53, -0.0834533
