,seconds,x,y,z,speed,acceleration,degrees
12534,1398847947.4060092,79.6699,131.596,-1.3372700000000002,0.5959856034241673,-2.9164672959802287,26.340098785150314
12535,1398847947.5066302,79.6281,131.553,-1.3372700000000002,0.30252779129156654,0.8870991498216076,19.409607635222976
12536,1398847947.6071625,79.6071,131.531,-1.3372700000000002,0.3917099032250908,-0.9605337973376351,13.675792183107143
12537,1398847947.7077358,79.5872,131.565,-1.3383599999999998,0.2951058482019162,0.06742451070561174,9.621741560721123
12538,1398847947.8083725,79.5662,131.54399999999998,-1.3383599999999998,0.30189122985125527,-0.121191463121324,7.3479894610845
12539,1398847947.9088883,79.5453,131.52200000000002,-1.3383599999999998,0.2897095678393526,0.0806652968507104,6.497135034211071
12540,1398847948.009466,79.5251,131.501,-1.3383599999999998,0.29782268922310606,-0.026282407430351845,6.466032266527885
12541,1398847948.109978,79.5048,131.47899999999998,-1.3383599999999998,0.29518099115838,0.0742684215565717,6.696914086609689
12542,1398847948.2103498,79.4839,131.458,-1.3383599999999998,0.30263544910685036,0.01001105881417752,6.874171384100293
12543,1398847948.3108463,79.4629,131.436,-1.3383599999999998,0.3036415257846354,-0.019058584550335267,6.932962825242792
12544,1398847948.4114335,79.4507,131.464,-1.33786,0.30172447747061365,-0.1893667270013647,6.936821110602259
12545,1398847948.5120049,79.4298,131.442,-1.33786,0.28267960176517964,0.18888468506709832,6.922961063614037
12546,1398847948.612564,79.4096,131.422,-1.33786,0.30167370112680447,0.007834884931621931,6.872144319789805
12547,1398847948.7131524,79.3887,131.4,-1.33786,0.3024617990526776,-0.0550565242387053,6.740607813625235
12548,1398847948.8137066,79.3677,131.378,-1.33786,0.2969256327709071,0.3887080534338588,6.556230400416171
12549,1398847948.9142942,79.3475,131.356,-1.33786,0.3360248454659044,-2.419698625213689,6.547926564143154
12550,1398847949.0048048,79.3265,131.334,-1.33786,0.11701645470756936,1.7116474285292143,7.170741340420173
12551,1398847949.1053553,79.3203,131.344,-1.3332099999999998,0.28912331078201753,0.1240735882269537,8.965990675864255
12552,1398847949.2058973,79.3002,131.32299999999998,-1.3332099999999998,0.30159792598627055,-0.006922731376181653,12.270626398416464
12553,1398847949.306511,79.2793,131.30100000000002,-1.3332099999999998,0.3009014051018344,-0.06942189351961674,16.964713395615775
12554,1398847949.4071288,79.2585,131.279,-1.3332099999999998,0.2939163209622642,-2.9226792114607743,22.426558053888634
12555,1398847949.5076928,79.2377,131.25799999999998,-1.3332099999999998,0.0,5.901785009451746,27.829334123526515
12556,1398847949.6082196,79.2377,131.25799999999998,-1.3332099999999998,0.5932876184905134,-4.034978898227856,32.57682417245261
12557,1398847949.7087889,79.1974,131.214,-1.3332099999999998,0.1874928241950408,1.1329643434507994,36.69283080255992
12558,1398847949.8098013,79.1787,131.211,-1.33284,0.301936349065962,-3.0043172071158724,40.893543774784746
12559,1398847949.9103022,79.1578,131.189,-1.33284,0.0,3.248463747011096,46.27290967108437
12560,1398847950.0008185,79.1578,131.189,-1.33284,0.2940390126571664,0.07023358145909407,53.706795723440514
12561,1398847950.1013405,79.137,131.168,-1.33284,0.3010990356347053,0.007828616312562648,63.28081599080461
12562,1398847950.2018924,79.1162,131.14600000000002,-1.33284,0.3018862174381086,-0.10235404155890249,74.07261252477278
12563,1398847950.30241,79.0953,131.124,-1.33284,0.2915978439021716,-0.9321092614369463,84.48692919201129
